epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1426.41,1.93321,2.21371,1.72615,0.33199,0.27573,0.23506,0.08053,2.39751,2.6408,2.24888,0.005743,0.005743,0.005743
45,1460.14,1.95782,2.26435,1.73571,0.31059,0.23238,0.21927,0.08181,2.36773,2.80408,2.21153,0.005644,0.005644,0.005644
46,1492.66,1.92473,2.20121,1.70945,0.2744,0.25706,0.21181,0.07733,2.34407,2.90141,2.21074,0.005545,0.005545,0.005545
47,1525.14,1.92536,2.15231,1.69909,0.31975,0.30207,0.24717,0.08804,2.39268,2.75501,2.22683,0.005446,0.005446,0.005446
48,1557.84,1.89378,2.13963,1.69473,0.28491,0.28756,0.22224,0.08253,2.34021,2.73749,2.22242,0.005347,0.005347,0.005347
49,1590.39,1.89284,2.15101,1.69689,0.27546,0.24285,0.22822,0.07796,2.37231,2.82121,2.21841,0.005248,0.005248,0.005248
50,1623.03,1.89437,2.09246,1.68666,0.21066,0.22091,0.1699,0.05845,2.44062,3.03657,2.18995,0.005149,0.005149,0.005149
51,1655.72,1.86988,2.0803,1.67479,0.26936,0.28289,0.22169,0.08533,2.32238,2.76775,2.18186,0.00505,0.00505,0.00505
52,1688.28,1.86098,2.08265,1.67027,0.40988,0.29004,0.24843,0.07691,2.35913,2.68038,2.20348,0.004951,0.004951,0.004951
53,1720.86,1.87483,2.05336,1.67301,0.27018,0.31142,0.22483,0.08961,2.32973,2.74716,2.22238,0.004852,0.004852,0.004852
54,1753.75,1.8656,2.03033,1.65492,0.33229,0.29059,0.26203,0.10111,2.37062,2.75296,2.20478,0.004753,0.004753,0.004753
55,1786.22,1.85105,2.01736,1.65892,0.29701,0.27441,0.23169,0.07662,2.38925,2.79373,2.26964,0.004654,0.004654,0.004654
