epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1435.51,1.21668,0.59317,1.47738,0.90032,0.84861,0.89645,0.4682,1.8972,1.04401,2.12324,0.000424187,0.000424187,0.000424187
43,1469.65,1.20263,0.59866,1.47592,0.91567,0.84329,0.9032,0.4582,1.88119,1.0729,2.13273,0.000417119,0.000417119,0.000417119
44,1503.72,1.1583,0.61111,1.44499,0.7799,0.91205,0.91894,0.4464,1.9295,1.00711,2.18537,0.00041005,0.00041005,0.00041005
45,1537.94,1.17691,0.61074,1.44874,0.88098,0.78048,0.87125,0.42741,1.92647,1.21248,2.18448,0.000402982,0.000402982,0.000402982
46,1572.05,1.20939,0.62065,1.48331,0.8453,0.88261,0.90729,0.43905,1.96138,1.01242,2.28917,0.000395913,0.000395913,0.000395913
47,1606.32,1.15901,0.58783,1.45328,0.868,0.86749,0.93175,0.49196,1.88777,0.96793,2.20025,0.000388844,0.000388844,0.000388844
48,1640.53,1.17544,0.56264,1.42862,0.90125,0.88033,0.92769,0.45735,1.87683,1.04239,2.14009,0.000381776,0.000381776,0.000381776
49,1674.75,1.11359,0.55355,1.4075,0.9022,0.84465,0.91347,0.45842,1.92725,1.04583,2.17868,0.000374707,0.000374707,0.000374707
50,1708.9,1.13712,0.55016,1.42517,0.88501,0.88356,0.92438,0.45771,1.91925,1.03831,2.15924,0.000367639,0.000367639,0.000367639
51,1743.11,1.09513,0.54708,1.39895,0.93,0.87497,0.92351,0.44231,1.93427,0.99686,2.25137,0.00036057,0.00036057,0.00036057
52,1777.27,1.1284,0.54228,1.41733,0.91987,0.8823,0.91898,0.43911,1.96197,1.01517,2.24394,0.000353501,0.000353501,0.000353501
53,1811.45,1.06516,0.52062,1.36499,0.93306,0.87313,0.92396,0.44309,1.93715,0.98645,2.24451,0.000346433,0.000346433,0.000346433
54,1845.61,1.10061,0.53525,1.40189,0.93846,0.87987,0.92505,0.49382,1.87857,0.97855,2.23349,0.000339364,0.000339364,0.000339364
55,1879.84,1.04604,0.50965,1.34917,0.92401,0.8906,0.91677,0.44669,1.89542,1.00499,2.20197,0.000332296,0.000332296,0.000332296
56,1914.08,1.06353,0.51609,1.37004,0.91041,0.87834,0.92976,0.47429,1.8679,0.96776,2.19041,0.000325227,0.000325227,0.000325227
57,1948.22,1.03992,0.51556,1.34805,0.93949,0.87855,0.92955,0.44524,1.92789,0.96423,2.26395,0.000318158,0.000318158,0.000318158
58,1982.41,1.03023,0.49742,1.33929,0.89681,0.86718,0.9077,0.45398,1.90429,0.96375,2.22974,0.00031109,0.00031109,0.00031109
59,2016.6,1.01671,0.48833,1.32205,0.90636,0.87254,0.90608,0.44671,1.93767,0.97822,2.30759,0.000304021,0.000304021,0.000304021
60,2050.86,0.99003,0.48402,1.31492,0.91522,0.8976,0.91915,0.43957,1.89222,0.9203,2.25753,0.000296953,0.000296953,0.000296953
61,2085.02,1.02352,0.49015,1.34333,0.95179,0.87073,0.91099,0.45329,1.88446,0.95307,2.21312,0.000289884,0.000289884,0.000289884
62,2119.2,0.97955,0.46704,1.30486,0.92035,0.874,0.91333,0.45326,1.93412,0.93683,2.30058,0.000282815,0.000282815,0.000282815
